COMBUSTIBLE,ESTADO,MODELO,FECHA_REGISTRO,CLASIFICACION,CLASE,SERVICIO,MARCA,LINEA,CARROCERIA,CILINDRAJE,ORGANISMO_TRANSITO,MUNICIPIO,DEPARTAMENTO,POTENCIA,EJES
GASO ELEC,ACTIVO,2022,2022-04-27,AUTOMOVIL,CAMIONETA,Particular,FORD,ESCAPE TITANIUM HEV,WAGON,2488.0,INSTITUTO DE MOVILIDAD DE PEREIRA,PEREIRA,Risaralda,200.0,2.0
GASO ELEC,ACTIVO,2021,2021-04-21,AUTOMOVIL,CAMIONETA,Particular,BMW,X3 XDRIVE30E,WAGON,1998.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,184.0,2.0
GASO ELEC,ACTIVO,2022,2021-12-30,AUTOMOVIL,AUTOMOVIL,Particular,BMW,330E,SEDAN,1998.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,184.0,2.0
GASO ELEC,ACTIVO,2022,2022-11-29,AUTOMOVIL,CAMIONETA,Particular,MERCEDES BENZ,AMG GLE 53 4MATIC COUPE,WAGON,2999.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,429.0,2.0
GASO ELEC,ACTIVO,2021,2021-10-22,AUTOMOVIL,CAMPERO,Particular,TOYOTA,RAV 4,WAGON,2487.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,176.0,2.0
GASO ELEC,ACTIVO,2022,2021-11-29,AUTOMOVIL,CAMIONETA,Particular,TOYOTA,COROLLA CROSS,WAGON,1798.0,STRIA MCPAL TTO CALI,CALI,Valle del Cauca,126.0,2.0
GASO ELEC,ACTIVO,2023,2022-08-30,AUTOMOVIL,CAMIONETA,Particular,TOYOTA,COROLLA CROSS,WAGON,1798.0,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,126.0,2.0
GASO ELEC,ACTIVO,2020,2020-02-28,AUTOMOVIL,AUTOMOVIL,Particular,TOYOTA,COROLLA,SEDAN,1798.0,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,126.0,2.0
GASO ELEC,ACTIVO,2022,2022-05-27,AUTOMOVIL,CAMIONETA,Particular,TOYOTA,YARIS CROSS,WAGON,1490.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,114.0,2.0
GASO ELEC,ACTIVO,2022,2021-07-02,AUTOMOVIL,CAMIONETA,Particular,TOYOTA,COROLLA CROSS,WAGON,1798.0,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,126.0,2.0
GASO ELEC,ACTIVO,2023,2022-06-13,AUTOMOVIL,CAMIONETA,Particular,TOYOTA,COROLLA CROSS,WAGON,1798.0,SECRETARIA DE  MOVILIDAD MUNICIPAL DE CHIA,CHIA,Cundinamarca,126.0,2.0
GASO ELEC,ACTIVO,2023,2022-07-11,AUTOMOVIL,CAMIONETA,Particular,MAZDA,CX-30,WAGON,1998.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,153.0,2.0
GASO ELEC,ACTIVO,2022,2021-03-26,AUTOMOVIL,AUTOMOVIL,Particular,TOYOTA,COROLLA,SEDAN,1798.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,126.0,2.0
GASO ELEC,ACTIVO,2022,2021-10-11,AUTOMOVIL,CAMIONETA,Particular,BMW,X5 XDRIVE45E,WAGON,2998.0,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,286.0,2.0
